ID,Group,Question
1,Wildfire Event Facts,Which Wisconsin fire occurring in October 1871 is recorded as the deadliest in U.S. history?
2,Wildfire Event Facts,What estimated number of fatalities resulted from the Peshtigo Fire?
3,Wildfire Event Facts,"How many acres were consumed during the Great Fire of 1910 across Idaho, Montana, and Washington?"
4,Wildfire Event Facts,Which 2018 California wildfire is currently ranked as the deadliest in the state's history?
5,Wildfire Event Facts,What specific town was nearly completely destroyed by the Camp Fire in November 2018?
6,Wildfire Event Facts,Which 2024 fire became the largest wildfire in Texas state history?
7,Wildfire Event Facts,What ignition source was attributed to the Smokehouse Creek Fire?
8,Wildfire Event Facts,How many acres did the Smokehouse Creek Fire burn in total?
9,Wildfire Event Facts,Which 1881 Michigan fire was the first official disaster relief effort for the American Red Cross?
10,Wildfire Event Facts,What was the estimated death toll of the Great Hinckley Fire of 1894?
11,Wildfire Event Facts,Which 1918 fire event in Minnesota and Wisconsin caused 453 confirmed deaths?
12,Wildfire Event Facts,What specific meteorological phenomenon was reported to have occurred during the Great Hinckley Fire?
13,Wildfire Event Facts,Which 2013 Arizona wildfire resulted in the fatalities of 19 Granite Mountain Hotshots?
14,Wildfire Event Facts,What is the total acreage burned by the August Complex fire in California in 2020?
15,Wildfire Event Facts,"Which 1825 fire, spreading from New Brunswick to Maine, is considered the largest in U.S. history by acreage?"
16,Wildfire Event Facts,What was the primary fuel source that exacerbated the spread of the 1902 Yacolt Burn?
17,Wildfire Event Facts,How many structures were destroyed in the 1991 Oakland Hills fire?
18,Wildfire Event Facts,Which California fire siege in 2020 resulted in the burning of 4.2 million acres?
19,Wildfire Event Facts,What was the confirmed death toll of the Lahaina Fire in Maui as of October 2023?
20,Wildfire Event Facts,Which hurricane contributed to the wind conditions fueling the Lahaina Fire?
21,Wildfire Event Facts,What percentage of the town of Lahaina was destroyed by the 2023 fire?
22,Wildfire Event Facts,Which 2021 California fire is recorded as the second largest in state history?
23,Wildfire Event Facts,What year did the Taylor Complex Fire occur in Alaska?
24,Wildfire Event Facts,How many acres were consumed by the Taylor Complex Fire?
25,Wildfire Event Facts,Which 2003 fire in San Diego County resulted in 15 deaths and 2232 destroyed homes?
26,Wildfire Event Facts,What was the primary cause of the 1933 Griffith Park Fire in Los Angeles?
27,Wildfire Event Facts,How many workers were killed in the Griffith Park Fire tragedy?
28,Wildfire Event Facts,Which 2017 California fire was ignited by faulty electrical transmission lines?
29,Wildfire Event Facts,What was the estimated insured loss resulting from the 2017 October Fire Siege?
30,Wildfire Event Facts,Which 2022 fire in New Mexico became the largest in the state's history?
31,Wildfire Event Facts,What year did the Tillamook Burn series of fires begin in Oregon?
32,Wildfire Event Facts,Which fire event is known as the "Big Burn"?
33,Wildfire Event Facts,How many individual fires merged to form the August Complex in 2020?
34,Wildfire Event Facts,What was the peak wind speed recorded during the Cloquet-Moose Lake fire?
35,Wildfire Event Facts,Which 1947 fire in Maine resulted in the destruction of nine towns?
36,Wildfire Event Facts,What is the estimated total cost of the 2018 Camp Fire?
37,Wildfire Event Facts,Which 2002 Colorado fire was the largest in state history at the time?
38,Wildfire Event Facts,What year did the Yellowstone fires burn approximately 36% of the park?
39,Wildfire Event Facts,How many acres were burned in the 2011 Wallow Fire in Arizona?
40,Wildfire Event Facts,Which 2007 Georgia/Florida fire burned over 600000 acres?
41,Wildfire Event Facts,What was the ignition cause of the 2018 Carr Fire?
42,Wildfire Event Facts,Which 2020 Colorado fire is currently the largest in state history?
43,Wildfire Event Facts,How many structures were lost in the 2021 Marshall Fire?
44,Wildfire Event Facts,Which 1990 fire in Santa Barbara destroyed over 400 homes?
45,Wildfire Event Facts,What year did the Bastrop County Complex fire occur in Texas?
46,Wildfire Event Facts,Which 2016 fire in Tennessee affected the Gatlinburg area?
47,Wildfire Event Facts,What was the death toll of the Gatlinburg fires?
48,Wildfire Event Facts,Which 1994 fire resulted in the deaths of 14 firefighters on Storm King Mountain?
49,Wildfire Event Facts,What is the name of the 2006 Texas fire that burned over 900000 acres?
50,Wildfire Event Facts,Which 2009 California fire threatened the Mt. Wilson Observatory?
51,Wildfire Event Facts,What year did the Cedar Fire occur in San Diego?
52,Wildfire Event Facts,Which 1961 fire in Los Angeles led to changes in brush clearance codes?
53,Wildfire Event Facts,How many acres burned in the 2021 Bootleg Fire in Oregon?
54,Wildfire Event Facts,Which 2000 fire in New Mexico threatened the Los Alamos National Laboratory?
55,Wildfire Event Facts,What was the cause of the 2002 Hayman Fire?
56,Wildfire Event Facts,Which 1953 California fire resulted in the deaths of 15 firefighters?
57,Wildfire Event Facts,What year did the Rim Fire burn into Yosemite National Park?
58,Wildfire Event Facts,Which 2018 fire was the largest in the history of British Columbia?
59,Wildfire Event Facts,How many people were evacuated during the 2016 Fort McMurray wildfire?
60,Wildfire Event Facts,What is the estimated cost of the Fort McMurray wildfire disaster?
61,Wildfire Event Facts,Which February 2009 bushfire event in Victoria is the deadliest in Australian history?
62,Wildfire Event Facts,How many fatalities were attributed to the Black Saturday bushfires?
63,Wildfire Event Facts,Which 1983 fire event affected both South Australia and Victoria?
64,Wildfire Event Facts,How many hectares were burned during the 2019–2020 Australian Black Summer bushfires?
65,Wildfire Event Facts,Which 1939 Victorian fire event led to a Royal Commission and changes in forest management?
66,Wildfire Event Facts,What year did the Ash Wednesday bushfires occur?
67,Wildfire Event Facts,Which 1967 Tasmanian fire event resulted in 62 deaths?
68,Wildfire Event Facts,What is the name of the 1851 Victorian fire known as the largest in the state's history by acreage?
69,Wildfire Event Facts,How many animals were estimated to have been killed or displaced during the 2019–2020 Australian fires?
70,Wildfire Event Facts,Which 2003 fire destroyed over 500 homes in Canberra?
71,Wildfire Event Facts,What was the ignition source of the 1965 Gippsland bushfires?
72,Wildfire Event Facts,Which 2005 South Australian fire on the Eyre Peninsula resulted in nine deaths?
73,Wildfire Event Facts,What year did the Blue Mountains bushfires destroy over 200 homes in New South Wales?
74,Wildfire Event Facts,Which 2015 Western Australian fire destroyed the town of Yarloop?
75,Wildfire Event Facts,What is the name of the 2019 fire that burned through the Gospers Mountain region?
76,Wildfire Event Facts,Which 1948 Canadian fire burned approximately 280000 hectares in Ontario?
77,Wildfire Event Facts,What year did the Great Porcupine Fire occur in Northern Ontario?
78,Wildfire Event Facts,How many people died in the Great Porcupine Fire?
79,Wildfire Event Facts,Which 2011 Alberta wildfire destroyed one-third of the town of Slave Lake?
80,Wildfire Event Facts,What was the total insured damage cost of the 2016 Fort McMurray wildfire?
81,Wildfire Event Facts,"Which 1825 fire is the largest recorded in North American history, affecting New Brunswick and Maine?"
82,Wildfire Event Facts,How many hectares were burned in the 2023 Canadian wildfire season?
83,Wildfire Event Facts,Which 2021 British Columbia fire destroyed the village of Lytton?
84,Wildfire Event Facts,What temperature record was set in Lytton the day before the fire?
85,Wildfire Event Facts,Which 2014 fire in the Northwest Territories was the largest in the region's history?
86,Wildfire Event Facts,What year did the Okanagan Mountain Park Fire occur in British Columbia?
87,Wildfire Event Facts,Which 1919 fire spanned Saskatchewan and eastern Alberta?
88,Wildfire Event Facts,How many hectares were burned in the 2010 Quebec wildfires?
89,Wildfire Event Facts,Which 2024 South American wildfire event affected the Pantanal wetlands?
90,Wildfire Event Facts,What two countries share the tri-border area where large 2024 fires occurred south of the Amazon?
91,Wildfire Event Facts,How many hectares were burned in the 2024 South American wildfires according to GWIS data?
92,Wildfire Event Facts,Which 2017 fire season in Chile was the worst in the country's history?
93,Wildfire Event Facts,What year did the Great Fire of London occur? (Contextual urban fire).
94,Wildfire Event Facts,Which 2017 Portugal wildfire resulted in 66 deaths?
95,Wildfire Event Facts,What specific road in Portugal became a death trap during the Pedrógão Grande fire?
96,Wildfire Event Facts,Which 2018 Greek wildfire resulted in over 100 deaths in Mati?
97,Wildfire Event Facts,What year did the Black Friday fires occur in Victoria?
98,Wildfire Event Facts,Which 1961 Australian fire destroyed the town of Dwellingup?
99,Wildfire Event Facts,How many hectares burned in the 2006 Southeast Asian haze event?
100,Wildfire Event Facts,Which 1997 Indonesian fire event is linked to a severe El Niño?
101,Wildfire Event Facts,What is the primary fuel source for fires in the Indonesian peatlands?
102,Wildfire Event Facts,Which 2019 Amazon rainforest fires caused global diplomatic tensions?
103,Wildfire Event Facts,What year did the Black Tuesday fires occur in Tasmania?
104,Wildfire Event Facts,Which 2015 Russian wildfire event occurred in the Khakassia region?
105,Wildfire Event Facts,How many acres burned in the 2003 Siberian Taiga fires?
106,Wildfire Event Facts,Which 2010 Russian wildfire event was linked to a severe heatwave?
107,Wildfire Event Facts,What year did the Black Christmas fires occur in New South Wales?
108,Wildfire Event Facts,Which 1994 Australian fire threatened the suburbs of Sydney?
109,Wildfire Event Facts,How many homes were lost in the 1983 Ash Wednesday fires?
110,Wildfire Event Facts,Which 2019 fire in Brazil's Amazon was the largest since 2010?
111,Wildfire Event Facts,What is the name of the 2020 fire on Fraser Island (K'gari)?
112,Wildfire Event Facts,Which 2013 Australian fire in New South Wales caused a "Red October"?
113,Wildfire Event Facts,What year did the Wangary fire occur in South Australia?
114,Wildfire Event Facts,Which 2009 fire in British Columbia forced the evacuation of West Kelowna?
115,Wildfire Event Facts,How many hectares did the 2018 Parry Sound forest fire burn?
116,Wildfire Event Facts,Which 1922 fire in Ontario is known as the Great Fire of Haileybury?
117,Wildfire Event Facts,What year did the Chisholm Fire occur in Alberta?
118,Wildfire Event Facts,Which 2017 fire in Greenland highlighted the risk of Arctic wildfires?
119,Wildfire Event Facts,What is the estimated carbon emission tonnage from the 2023 Canadian fires?
120,Wildfire Event Facts,Which 2020 fire in Argentina affected the Delta del Paraná?
121,Wildfire Event Facts,What name is given to the 1916 wildfire in Northern Ontario that killed 223 people?
122,Wildfire Event Facts,Which U.S. fire is associated with the Mann Gulch tragedy of 1949?
123,Wildfire Event Facts,How many smokejumpers died in the Mann Gulch fire?
124,Wildfire Event Facts,What year did the Dude Fire occur in Arizona?
125,Wildfire Event Facts,Which 1956 California fire in the Cleveland National Forest killed 11 firefighters?
126,Wildfire Event Facts,What is the name of the 1996 fire in San Diego County that burned over 24000 acres?
127,Wildfire Event Facts,Which 2003 Canadian fire forced the evacuation of 25000 residents in Kelowna?
128,Wildfire Event Facts,What year was the "Great Fire" of Jacksonville, Florida?
129,Wildfire Event Facts,Which 2019 fire in Alaska broke records for the earliest start to the fire season?
130,Wildfire Event Facts,What was the cause of the 1991 Oakland Hills fire?
131,Wildfire Event Facts,Which 2022 fire in France consumed over 20000 hectares in the Gironde region?
132,Wildfire Event Facts,What year did the "Black Saturday" fires occur in Yellowstone?
133,Wildfire Event Facts,Which 2015 fire in Idaho killed three wildland firefighters near Kamiah?
134,Wildfire Event Facts,What is the name of the 2012 fire in New Mexico that was the largest in state history before 2022?
135,Wildfire Event Facts,Which 2016 fire in Alberta is colloquially known as "The Beast"?
136,Wildfire Event Facts,What year did the Rattlesnake Fire occur in California?
137,Wildfire Event Facts,How many firefighters perished in the Rattlesnake Fire?
138,Wildfire Event Facts,Which 2001 fire in Washington resulted in the Thirtymile Fire tragedy?
139,Wildfire Event Facts,How many firefighters died in the Thirtymile Fire?
140,Wildfire Event Facts,What year did the Esperanza Fire occur in California?
141,Wildfire Event Facts,Which 2006 fire was started by arson and killed five firefighters?
142,Wildfire Event Facts,What is the name of the 1937 fire in Wyoming that killed 15 firefighters?
143,Wildfire Event Facts,Which 2013 fire in California's Stanislaus National Forest is the third largest in state history?
144,Wildfire Event Facts,What year did the Station Fire threaten Los Angeles?
145,Wildfire Event Facts,Which 1987 fire siege in California is often called the "Siege of '87"?
146,Wildfire Event Facts,How many acres were burned in the 2015 Soda Fire in Idaho?
147,Wildfire Event Facts,Which 2012 fire in Oregon burned over 90000 acres?
148,Wildfire Event Facts,What is the name of the 2011 fire in Texas that destroyed 1600 homes?
149,Wildfire Event Facts,Which 1998 fire in Florida burned over 500000 acres?
150,Wildfire Event Facts,What year did the Rodeo-Chediski Fire occur in Arizona?
151,Wildfire Event Facts,Which 2002 fire was the result of two separate fires merging?
152,Wildfire Event Facts,How many acres did the Rodeo-Chediski Fire burn?
153,Wildfire Event Facts,Which 2018 fire in California became the largest in state history before being surpassed in 2020?
154,Wildfire Event Facts,What is the name of the 2014 fire in Washington that was the largest in state history?
155,Wildfire Event Facts,How many homes were destroyed by the Carlton Complex Fire?
156,Wildfire Event Facts,Which 2015 fire in California destroyed over 1200 homes in Lake County?
157,Wildfire Event Facts,What year did the Witch Fire occur in San Diego?
158,Wildfire Event Facts,Which 2007 fire in California was driven by extreme Santa Ana winds?
159,Wildfire Event Facts,What is the name of the 2016 fire in California that burned near Big Sur?
160,Wildfire Event Facts,Which 2021 fire in California burned over 960000 acres?
161,Wildfire Event Facts,What year did the Zaca Fire occur in Santa Barbara County?
162,Wildfire Event Facts,Which 2008 complex of fires in California was sparked by lightning?
163,Wildfire Event Facts,What is the name of the 2003 fire in British Columbia that burned 260 homes?
164,Wildfire Event Facts,Which 2011 fire in Arizona was the largest in state history before 2011?
165,Wildfire Event Facts,What year did the Murphy Complex Fire occur in Idaho?
166,Wildfire Event Facts,Which 2007 fire in Utah was the largest in state history?
167,Wildfire Event Facts,What is the name of the 2012 fire in Colorado that killed one person and destroyed 259 homes?
168,Wildfire Event Facts,Which 2013 fire in Colorado destroyed over 500 homes in the Black Forest area?
169,Wildfire Event Facts,What year did the High Park Fire occur in Colorado?
170,Wildfire Event Facts,Which 2010 fire in Israel is considered the deadliest in the country's history?
171,Atmosphere and Fire Dynamics Interaction,What two atmospheric factors does the Haines Index measure?
172,Atmosphere and Fire Dynamics Interaction,What is the maximum possible value on the Haines Index scale?
173,Atmosphere and Fire Dynamics Interaction,What does a Haines Index of 2 or 3 indicate regarding fire growth potential?
174,Atmosphere and Fire Dynamics Interaction,Which atmospheric layer pressure difference is used to calculate the stability term in the low-elevation Haines Index?
175,Atmosphere and Fire Dynamics Interaction,What KBDI range is typically associated with severe drought and increased wildfire occurrence?
176,Atmosphere and Fire Dynamics Interaction,At what KBDI value is the soil assumed to have zero moisture deficiency?
177,Atmosphere and Fire Dynamics Interaction,What is the maximum theoretical value of the Keetch-Byram Drought Index?
178,Atmosphere and Fire Dynamics Interaction,Which two inputs are required to calculate the daily KBDI?
179,Atmosphere and Fire Dynamics Interaction,What does a KBDI value between 200 and 400 indicate regarding fuel drying?
180,Atmosphere and Fire Dynamics Interaction,Who are the two researchers credited with developing the KBDI in 1968?
181,Atmosphere and Fire Dynamics Interaction,What is the definition of "pyrocumulonimbus" (pyroCb)?
182,Atmosphere and Fire Dynamics Interaction,How does a pyroCb cloud differ from a standard cumulonimbus cloud?
183,Atmosphere and Fire Dynamics Interaction,What specific aerosol is injected into the stratosphere by pyroCb events?
184,Atmosphere and Fire Dynamics Interaction,Which atmospheric stability index is commonly used to predict pyroCb formation?
185,Atmosphere and Fire Dynamics Interaction,What is the "McArthur Forest Fire Danger Index" (FFDI) primarily used for?
186,Atmosphere and Fire Dynamics Interaction,Which four variables are used to calculate the Canadian Fire Weather Index (FWI)?
187,Atmosphere and Fire Dynamics Interaction,What does the "Fine Fuel Moisture Code" (FFMC) in the Canadian system measure?
188,Atmosphere and Fire Dynamics Interaction,Which component of the Canadian FWI system represents the moisture content of deep organic layers?
189,Atmosphere and Fire Dynamics Interaction,What is the "Initial Spread Index" (ISI) dependent on?
190,Atmosphere and Fire Dynamics Interaction,Which Australian fire danger rating category replaced "Code Red"?
191,Atmosphere and Fire Dynamics Interaction,What is the "Fosberg Fire Weather Index" primarily based on?
192,Atmosphere and Fire Dynamics Interaction,How does the "Ventilation Index" relate to smoke dispersion?
193,Atmosphere and Fire Dynamics Interaction,What is a "Föhn wind" and how does it affect fire behavior?
194,Atmosphere and Fire Dynamics Interaction,Which wind event is synonymous with extreme fire danger in Southern California?
195,Atmosphere and Fire Dynamics Interaction,What is the "C-Haines" index used to measure?
196,Atmosphere and Fire Dynamics Interaction,How does relative humidity affect the moisture of extinction?
197,Atmosphere and Fire Dynamics Interaction,What is the definition of "virga" in the context of dry thunderstorms?
198,Atmosphere and Fire Dynamics Interaction,Which atmospheric layer traps smoke in an inversion?
199,Atmosphere and Fire Dynamics Interaction,What is the "Buildup Index" (BUI) in the Canadian FWI system?
200,Atmosphere and Fire Dynamics Interaction,How does slope percentage affect the rate of fire spread?
201,Atmosphere and Fire Dynamics Interaction,What is the "chimney effect" in steep terrain?
202,Atmosphere and Fire Dynamics Interaction,Which term describes the pre-heating of fuels ahead of the fire front?
203,Atmosphere and Fire Dynamics Interaction,What is "spotting" in wildland fire behavior?
204,Atmosphere and Fire Dynamics Interaction,How does wind shear influence the development of a convection column?
205,Atmosphere and Fire Dynamics Interaction,What is the "mixing height" in fire weather forecasting?
206,Atmosphere and Fire Dynamics Interaction,Which cloud type is often a precursor to a thunderstorm-driven fire event?
207,Atmosphere and Fire Dynamics Interaction,What is the "energy release component" (ERC) in the NFDRS?
208,Atmosphere and Fire Dynamics Interaction,How does the "Burning Index" (BI) relate to flame length?
209,Atmosphere and Fire Dynamics Interaction,What is the significance of "10-hour fuels" in fire modeling?
210,Atmosphere and Fire Dynamics Interaction,Which time-lag fuel class responds most quickly to changes in humidity?
211,Atmosphere and Fire Dynamics Interaction,What is the "ignition probability" output in NFDRS?
212,Atmosphere and Fire Dynamics Interaction,How does a "low-level jet" affect fire behavior?
213,Atmosphere and Fire Dynamics Interaction,What is the "Haines Index" stability term for mid-elevation calculations?
214,Atmosphere and Fire Dynamics Interaction,Which atmospheric phenomenon caused the 1902 Yacolt Burn's rapid spread?
215,Atmosphere and Fire Dynamics Interaction,What is the "Dry Lightning" phenomenon?
216,Atmosphere and Fire Dynamics Interaction,How does the "dew point" influence fire danger?
217,Atmosphere and Fire Dynamics Interaction,What is the "moisture of extinction" for dead fuels?
218,Atmosphere and Fire Dynamics Interaction,Which seasonal wind pattern drives fires in the San Francisco Bay Area?
219,Atmosphere and Fire Dynamics Interaction,What is "subsidence" in the context of high-pressure systems?
220,Atmosphere and Fire Dynamics Interaction,How does "solar radiation" affect aspect-driven fire behavior?
221,Atmosphere and Fire Dynamics Interaction,What is the "heat release rate" (HRR) measured in?
222,Atmosphere and Fire Dynamics Interaction,Which term describes the rapid oxidation of fuel with the evolution of heat and light?
223,Atmosphere and Fire Dynamics Interaction,What is "pyrolysis"?
224,Atmosphere and Fire Dynamics Interaction,How does "canopy bulk density" affect crown fire initiation?
225,Atmosphere and Fire Dynamics Interaction,What is the "critical surface intensity" for crown fire transition?
226,Atmosphere and Fire Dynamics Interaction,Which term describes the horizontal continuity of canopy fuels?
227,Atmosphere and Fire Dynamics Interaction,What is "torching" in fire behavior?
228,Atmosphere and Fire Dynamics Interaction,How does "fuel moisture content" affect the heat of combustion?
229,Atmosphere and Fire Dynamics Interaction,What is the "residence time" of a flame front?
230,Atmosphere and Fire Dynamics Interaction,Which heat transfer mechanism is primary in backing fires?
231,Atmosphere and Fire Dynamics Interaction,What is the "convection column" collapse?
232,Atmosphere and Fire Dynamics Interaction,How does "vorticity" contribute to fire whirls?
233,Atmosphere and Fire Dynamics Interaction,What is the "Santa Ana" wind mechanism?
234,Atmosphere and Fire Dynamics Interaction,Which term describes the ratio of fuel particle surface area to volume?
235,Atmosphere and Fire Dynamics Interaction,What is "packing ratio" in a fuel bed?
236,Atmosphere and Fire Dynamics Interaction,How does "live fuel moisture" differ from dead fuel moisture?
237,Atmosphere and Fire Dynamics Interaction,What is the "foliar moisture content"?
238,Atmosphere and Fire Dynamics Interaction,Which atmospheric condition promotes "plume-dominated" fires?
239,Atmosphere and Fire Dynamics Interaction,What is "wind-driven" vs. "plume-dominated" fire behavior?
240,Atmosphere and Fire Dynamics Interaction,How does "topography" interact with diurnal wind shifts?
